personId,lastName,firstName,pos,heightFeet,heightInches
1626159,Winslow,Justise,F-G,6,7
1962937553,WORKMAN,WILLY,F,-,-
1626153,Wright,Delon,G,6,5
27004,Xiaolei,Zhang,F,-,-
1962937760,Xu,Huang,,-,-
27001,Xuedong,Luo,G,-,-
27006,Xuhang,Zhu,F,-,-
1627824,Yabusele,Guerschon,F,6,8
1962937765,Yi,Zhai,,-,-
27012,Yifeng,Heng,F,-,-
27008,Yingjun,Chen,G,-,-
42573,Yivzuri,Dagan,G,-,-
1626202,Young,Joe,G,6,2
27018,Young,Mitchell,F,-,-
201156,Young,Nick,G-F,6,7
201152,Young,Thaddeus,F,6,8
1962937772,Yuchen,Shi,,-,-
27003,Yue,Wang,F,-,-
27010,Yuezhuo,Gu,G,-,-
203469,Zeller,Cody,C-F,7,0
203092,Zeller,Tyler,C,7,0
1962937729,Zhang,Fan,,-,-
1962937766,Zhaoxu,Zhang,,-,-
1962937768,Zhi,Luo,,-,-
27007,Zhun,Zheng,C,-,-
27000,Zihao,Liu,F,-,-
1962937762,Zihao,Tang,,-,-
27009,Ziming,Fan,C,-,-
1627835,Zipser,Paul,F,6,8
1627790,Zizic,Ante,F-C,6,11
1627826,Zubac,Ivica,C,7,1
